conquistado_nome;conquistado_tribo;conquistador_nome;conquistador_tribo;data
Rei Senhor nino;AJ;Rei Senhor nino;AJ;2025-12-13 - 03:50:49
Aldeias de Bárbaros;;Rei Senhor nino;AJ;2025-12-13 - 03:50:48
Aldeias de Bárbaros;;Mateuswd;;2025-12-13 - 03:47:31
sandubão1;MÁFIA2;MONSTRO INVISÍVEL;MÁFIA;2025-12-13 - 03:44:09
Aldeias de Bárbaros;;rparagis;AJ;2025-12-13 - 03:44:01
sandubão1;MÁFIA2;MONSTRO INVISÍVEL;MÁFIA;2025-12-13 - 03:43:58
sandubão1;MÁFIA2;MONSTRO INVISÍVEL;MÁFIA;2025-12-13 - 03:43:33
Aldeias de Bárbaros;;rev1;AF;2025-12-13 - 03:43:02
Aldeias de Bárbaros;;AnDrEi Grêmio;AD;2025-12-13 - 03:33:35
Aldeias de Bárbaros;;Mb.bahia;AJ;2025-12-13 - 03:26:48
Botelho;FN!;MayRushworth;FN;2025-12-13 - 03:25:25
Donsz;FN;johni.reginatto;AJ;2025-12-13 - 03:11:06
Aldeias de Bárbaros;;DevoradorDeAlmas;FN;2025-12-13 - 03:09:18
DevoradorDeAlmas;FN;DevoradorDeAlmas;FN;2025-12-13 - 03:09:18
sandubão1;MÁFIA2;sandubão1;MÁFIA2;2025-12-13 - 03:02:46
sandubão1;MÁFIA2;sandubão1;MÁFIA2;2025-12-13 - 03:02:06
Aldeias de Bárbaros;;vitufs;ON;2025-12-13 - 02:58:12
Aldeias de Bárbaros;;Aguia Pescadora;AJ;2025-12-13 - 02:51:15
Aldeias de Bárbaros;;AnDrEi Grêmio;AD;2025-12-13 - 02:45:37
DemonAguia;AD;overlogic2;5 MG;2025-12-13 - 02:45:28
Aldeias de Bárbaros;;Rei Senhor nino;AJ;2025-12-13 - 02:39:25
Donsz;FN;Wollfano;AJ;2025-12-13 - 02:36:23
Aldeias de Bárbaros;;johni.reginatto;AJ;2025-12-13 - 02:35:24
Aldeias de Bárbaros;;marlonX;ON;2025-12-13 - 02:34:53
Aldeias de Bárbaros;;HugoVictor;AJ;2025-12-13 - 02:16:36
Aldeias de Bárbaros;;Belomonte;AF;2025-12-13 - 02:12:40
Aldeias de Bárbaros;;AnDrEi Grêmio;AD;2025-12-13 - 02:09:56
Donsz;FN;johni.reginatto;AJ;2025-12-13 - 02:03:54
Aldeias de Bárbaros;;MarcosSP;AJ;2025-12-13 - 02:00:59
..Joker..;FN!;Lord NoMercy;FN;2025-12-13 - 02:00:37
Aldeias de Bárbaros;;HAYLANDER.S45;SEÉ;2025-12-13 - 01:59:09
Aldeias de Bárbaros;;Peja.;FN!;2025-12-13 - 01:54:53
Lajes;FN!;Edu45678;FN;2025-12-13 - 01:53:00
MrGauchow;SHODO;DevoradorDeAlmas;FN;2025-12-13 - 01:47:39
Ninguém me Segura??;AD;Rei Kurosaki;5 MG;2025-12-13 - 01:46:07
Aldeias de Bárbaros;;PAULO 1450;AJ;2025-12-13 - 01:38:03
Aldeias de Bárbaros;;Rei de copaz;SPN;2025-12-13 - 01:34:09
Aldeias de Bárbaros;;flexx08;AF;2025-12-13 - 01:12:07
Aldeias de Bárbaros;;Mb.bahia;AJ;2025-12-13 - 01:06:12
GANG DO MACHADO;AF;m.fischer;MÁFIA;2025-12-13 - 01:03:56
Donsz;FN;johni.reginatto;AJ;2025-12-13 - 00:55:49
Aldeias de Bárbaros;;jeckbrahiwan;;2025-12-13 - 00:55:35
- Geralt de Rívia;5 MG;Jamper..;FN;2025-12-13 - 00:46:46
Vk.estef;AD;MACUCO;5 MG;2025-12-13 - 00:42:38
Didacos;SHODO;xGoogle97;5 MG;2025-12-13 - 00:41:25
Aldeias de Bárbaros;;matheusfogaca;.KZD;2025-12-13 - 00:40:47
Aldeias de Bárbaros;;nery.com;AJ;2025-12-13 - 00:39:26
DemonAguia;AD;overlogic2;5 MG;2025-12-13 - 00:37:21
Aldeias de Bárbaros;;SilvaWardog;ON;2025-12-13 - 00:33:13
Aldeias de Bárbaros;;tiboladao;AF;2025-12-13 - 00:32:06
Aldeias de Bárbaros;;Ulian;-I.R-;2025-12-13 - 00:28:49
Aldeias de Bárbaros;;Ulian;-I.R-;2025-12-13 - 00:26:21
Aldeias de Bárbaros;;Guguerreiro;AJ;2025-12-13 - 00:16:01
..Joker..;FN!;Lord NoMercy;FN;2025-12-13 - 00:12:14
Aldeias de Bárbaros;;Aguia Pescadora;AJ;2025-12-13 - 00:09:42
Aldeias de Bárbaros;;SEKIRO;AJ;2025-12-13 - 00:06:57
Lajes;FN!;Edu45678;FN;2025-12-13 - 00:01:59
Folk;Sa;AkazO;AJ;2025-12-13 - 00:00:42
.Tacos.;AJ;RtZlLuKe;FN;2025-12-12 - 23:54:24
Jbeto;FN;CrazyFrog777;AJ;2025-12-12 - 23:53:05
Aldeias de Bárbaros;;MACUCO;5 MG;2025-12-12 - 23:47:30
Aldeias de Bárbaros;;Storm Shadow;AF;2025-12-12 - 23:44:24
Sir Giwow;MÁFIA;Matheus2020;AJ;2025-12-12 - 23:43:03
Aldeias de Bárbaros;;OGUN;AJ;2025-12-12 - 23:41:54
Biel17;MÁFIA;Nykon;FN;2025-12-12 - 23:39:26
Wollfano;AJ;DevoradorDeAlmas;FN;2025-12-12 - 23:39:25
iAmFsgrott;;is it coyote z;FN;2025-12-12 - 23:39:09
Aldeias de Bárbaros;;Mateuswd;;2025-12-12 - 23:29:16
vingadora07;;kakarotoegoku;;2025-12-12 - 23:27:34
Michael;AD;cleber 25;FN;2025-12-12 - 23:25:52
CrazyFrog777;AJ;Papai;MÁFIA2;2025-12-12 - 23:25:38
Aldeias de Bárbaros;;RtZlLuKe;FN;2025-12-12 - 23:25:21
- Geralt de Rívia;5 MG;Jamper..;FN;2025-12-12 - 23:24:15
..Joker..;FN!;Lord NoMercy;FN;2025-12-12 - 23:23:50
- Geralt de Rívia;5 MG;Jamper..;FN;2025-12-12 - 23:22:09
Ninguém me Segura??;AD;vinexz;MÁFIA;2025-12-12 - 23:20:38
.Tacos.;AJ;RtZlLuKe;FN;2025-12-12 - 23:18:24
RtZlLuKe;FN;RtZlLuKe;FN;2025-12-12 - 23:18:24
Aldeias de Bárbaros;;Aguia Pescadora;AJ;2025-12-12 - 23:16:11
Aldeias de Bárbaros;;vitufs;ON;2025-12-12 - 23:09:15
Aldeias de Bárbaros;;Rei Senhor nino;AJ;2025-12-12 - 23:07:23
Aldeias de Bárbaros;;dener113;ON;2025-12-12 - 23:07:10
- Geralt de Rívia;5 MG;Jamper..;FN;2025-12-12 - 23:05:28
Aldeias de Bárbaros;;ArKaDiAn;AF;2025-12-12 - 23:02:59
valdemarofeio1;AJ;valdemarofeio1;AJ;2025-12-12 - 23:00:24
Aldeias de Bárbaros;;valdemarofeio1;AJ;2025-12-12 - 23:00:15
CrazyFrog777;AJ;Jbeto;FN;2025-12-12 - 23:00:00
PoxaMutinho;;Wollfano;AJ;2025-12-12 - 22:49:40
marcos ferreira girao;AJ;Negomel;MÁFIA;2025-12-12 - 22:48:36
PoxaMutinho;;Wollfano;AJ;2025-12-12 - 22:47:15
vittera07;AJ;DevoradorDeAlmas;FN;2025-12-12 - 22:39:47
Aldeias de Bárbaros;;johni.reginatto;AJ;2025-12-12 - 22:35:51
Aldeias de Bárbaros;;MAREZIKA;AJ;2025-12-12 - 22:35:20
Aldeias de Bárbaros;;vitufs;ON;2025-12-12 - 22:31:30
Aldeias de Bárbaros;;valdemarofeio1;AJ;2025-12-12 - 22:25:04
AnDrEi Grêmio;AD;YamaRazorTTV;5 MG;2025-12-12 - 22:16:25
..Joker..;FN!;Lord NoMercy;FN;2025-12-12 - 22:13:51
Sir Giwow;MÁFIA;Matheus2020;AJ;2025-12-12 - 22:05:43
Aldeias de Bárbaros;;FelipeWizu;FN;2025-12-12 - 22:05:03
Aldeias de Bárbaros;;Pimentel.war;AJ;2025-12-12 - 22:02:20
Folk;Sa;AkazO;AJ;2025-12-12 - 22:01:27
Relampagomcquin;AJ;FelipeWizu;FN;2025-12-12 - 21:59:14
Petronas;MÁFIA;Petronas;MÁFIA;2025-12-12 - 21:52:50
Aldeias de Bárbaros;;Jacksonjj;AJ;2025-12-12 - 21:38:58
